CustomerID,Age,Gender,AnnualIncome,SpendingScore,MembershipTier,Region,PreferredCategory,LoyaltyPoints,RecentPurchase
1,27,Non-Binary,77778.54,50,Silver,South,Home Decor,327,No
2,66,Non-Binary,84797.91,16,Gold,North,Toys,869,Yes
3,55,Female,82841.51,79,Diamond,North,Home Decor,2143,Yes
4,31,Non-Binary,139825.79,26,Platinum,East,Sports,2984,Yes
5,20,Male,62388.36,40,Silver,North,Beauty,8591,No
6,24,Male,62887.7,75,Gold,South,Sports,2855,Yes
7,26,Female,68237.2,76,Diamond,East,Toys,3487,No
8,43,Male,74752.36,23,Platinum,North,Toys,3352,Yes
9,59,Non-Binary,124342.5,56,Platinum,South,Beauty,4395,No
10,50,Female,139039.6,71,Diamond,North,Electronics,4514,Yes
11,36,Non-Binary,83293.9,94,Silver,Central,Sports,560,No
12,31,Male,31663.01,78,Platinum,North,Electronics,3073,No
13,23,Non-Binary,149478.13,81,Diamond,North,Toys,4688,No
14,23,Male,63895.89,35,Platinum,East,Electronics,9702,No
15,35,Non-Binary,34882.07,21,Platinum,North,Electronics,6526,Yes
16,55,Male,54107.86,28,Diamond,East,Electronics,4982,Yes
17,41,Female,51783.12,25,Diamond,North,Beauty,2694,Yes
18,18,Male,34468.77,4,Silver,Central,Home Decor,7307,Yes
19,18,Non-Binary,22420.54,33,Platinum,Central,Sports,5257,No
20,61,Female,40510.6,38,Platinum,East,Toys,7657,No
21,40,Non-Binary,125661.11,10,Silver,West,Beauty,2096,No
22,61,Male,27845.17,76,Platinum,South,Home Decor,4117,No
23,44,Male,119729.58,90,Gold,East,Clothing,3225,No
24,51,Non-Binary,129683.83,26,Gold,South,Clothing,1533,Yes
25,35,Female,84912.66,45,Gold,South,Sports,981,Yes
26,35,Female,133771.23,75,Platinum,North,Sports,5434,Yes
27,27,Female,131959.05,30,Gold,West,Home Decor,5884,Yes
28,59,Female,145613.43,75,Gold,Central,Beauty,5561,Yes
29,66,Male,122283.25,36,Diamond,Central,Sports,5880,Yes
30,38,Non-Binary,109890.48,36,Silver,West,Electronics,1197,No
31,45,Male,102609.9,5,Diamond,East,Beauty,1219,No
32,24,Non-Binary,35824.93,9,Gold,Central,Toys,9811,No
33,29,Non-Binary,34431.38,96,Diamond,South,Beauty,4756,No
34,52,Female,80741.69,73,Platinum,East,Electronics,3338,Yes
35,65,Female,39160.97,94,Silver,South,Electronics,9849,No
36,23,Male,102188.76,60,Platinum,West,Electronics,143,No
37,24,Non-Binary,60162.42,54,Platinum,Central,Beauty,9631,No
38,32,Male,30439.37,16,Platinum,East,Toys,4585,Yes
39,19,Male,72054.42,35,Diamond,Central,Sports,5149,No
40,54,Male,125068.32,15,Silver,East,Sports,7975,No
41,48,Female,125362.12,80,Platinum,Central,Home Decor,2000,No
42,52,Non-Binary,135863.29,7,Silver,South,Clothing,2107,Yes
43,66,Male,54112.84,21,Silver,Central,Toys,5252,Yes
44,46,Female,90339.28,47,Platinum,East,Beauty,208,No
45,32,Female,121287.15,81,Silver,West,Toys,746,Yes
46,67,Female,104163.63,55,Diamond,West,Beauty,6149,Yes
47,67,Male,119456.61,20,Gold,West,Electronics,9685,No
48,54,Non-Binary,108712.58,91,Gold,West,Electronics,789,Yes
49,18,Male,142861.45,84,Diamond,North,Sports,4223,No
50,53,Non-Binary,54718.57,100,Silver,East,Sports,4921,No
51,60,Male,135417.66,33,Diamond,West,Clothing,2134,Yes
52,22,Non-Binary,80665.61,51,Platinum,West,Home Decor,4916,No
53,57,Female,85356.13,66,Platinum,Central,Toys,3542,Yes
54,60,Female,94118.68,83,Diamond,West,Toys,2432,Yes
55,31,Non-Binary,144600.62,64,Silver,Central,Home Decor,6673,No
56,55,Male,117803.58,89,Silver,West,Beauty,5557,Yes
57,66,Female,129479.01,100,Platinum,South,Clothing,349,No
58,66,Non-Binary,101690.41,5,Gold,North,Home Decor,5729,Yes
59,31,Non-Binary,20475.15,5,Silver,West,Electronics,7011,Yes
60,27,Non-Binary,120218.36,48,Diamond,West,Electronics,5915,Yes
61,34,Female,54612.43,75,Gold,North,Sports,2236,Yes
62,54,Female,104831.76,41,Silver,Central,Sports,3267,Yes
63,42,Female,147455.76,40,Platinum,North,Electronics,5804,Yes
64,43,Female,100479.55,71,Diamond,East,Electronics,5434,Yes
65,38,Female,46614.61,98,Platinum,West,Toys,899,Yes
66,23,Non-Binary,111574.13,78,Gold,Central,Toys,9444,Yes
67,24,Non-Binary,49203.98,66,Gold,South,Home Decor,1428,Yes
68,30,Non-Binary,20966.53,53,Diamond,Central,Toys,1570,Yes
69,41,Female,69059.12,40,Diamond,Central,Beauty,217,No
70,59,Non-Binary,125442.54,47,Silver,North,Toys,2239,No
71,31,Male,130115.84,63,Diamond,North,Sports,2456,No
72,51,Female,68773.88,84,Silver,West,Electronics,5816,No
73,33,Non-Binary,136597.38,71,Gold,South,Electronics,665,No
74,30,Male,66760.44,87,Gold,Central,Clothing,6983,No
75,28,Non-Binary,66616.64,74,Silver,West,Electronics,9574,No
76,29,Male,96392.0,18,Diamond,North,Beauty,7865,No
77,46,Female,128256.42,14,Platinum,North,Home Decor,1351,Yes
78,70,Female,106383.15,26,Silver,North,Electronics,7770,Yes
79,39,Female,74031.12,51,Gold,South,Home Decor,6433,Yes
80,65,Male,93155.4,34,Platinum,North,Home Decor,3213,No
81,45,Male,35888.09,95,Diamond,West,Electronics,4485,No
82,60,Female,125636.26,95,Silver,West,Sports,3044,Yes
83,30,Male,32405.84,18,Diamond,South,Beauty,7270,Yes
84,44,Female,119461.92,57,Gold,Central,Clothing,1384,No
85,70,Female,85319.33,23,Diamond,South,Clothing,3129,No
86,37,Female,136518.59,30,Gold,West,Clothing,5382,No
87,61,Male,130687.04,29,Gold,West,Clothing,6660,Yes
88,35,Male,68416.39,30,Gold,Central,Toys,7362,Yes
89,50,Female,119159.34,67,Diamond,South,Beauty,3096,No
90,21,Female,123212.68,50,Silver,North,Home Decor,7699,Yes
91,29,Non-Binary,137451.13,1,Gold,North,Beauty,4682,No
92,40,Male,71966.16,88,Diamond,East,Beauty,9858,No
93,37,Female,143912.38,10,Silver,North,Home Decor,4560,Yes
94,28,Non-Binary,64365.86,27,Diamond,North,Home Decor,1667,No
95,35,Male,141563.79,69,Platinum,South,Beauty,1244,Yes
96,69,Female,85723.68,16,Platinum,West,Beauty,2069,No
97,40,Non-Binary,31168.23,89,Diamond,West,Electronics,371,Yes
98,55,Non-Binary,36899.08,64,Platinum,Central,Electronics,3641,Yes
99,40,Male,21018.21,55,Gold,South,Sports,3697,Yes
100,63,Female,148731.15,24,Silver,Central,Toys,9796,No
101,43,Female,133807.81,59,Platinum,West,Home Decor,9158,Yes
102,58,Male,149366.19,27,Diamond,East,Clothing,631,Yes
103,30,Female,77315.95,22,Silver,North,Sports,5159,Yes
104,51,Non-Binary,120223.87,79,Diamond,North,Toys,7371,No
105,51,Non-Binary,38692.24,10,Platinum,East,Sports,7231,Yes
106,57,Female,35496.03,44,Diamond,South,Electronics,2399,Yes
107,32,Female,66808.31,85,Platinum,South,Beauty,845,No
108,68,Male,146392.27,44,Platinum,West,Sports,9318,No
109,33,Female,110280.53,30,Gold,West,Electronics,4682,No
110,52,Non-Binary,104294.79,88,Silver,North,Toys,1582,Yes
111,26,Non-Binary,40180.72,65,Platinum,West,Toys,7507,Yes
112,69,Female,90586.15,68,Platinum,East,Clothing,4364,Yes
113,54,Female,73468.06,95,Platinum,Central,Sports,9717,Yes
114,29,Non-Binary,98037.64,94,Diamond,West,Beauty,3531,No
115,20,Male,24710.76,53,Gold,West,Toys,1553,No
116,61,Male,66986.28,55,Diamond,South,Electronics,6404,No
117,65,Non-Binary,112364.0,93,Gold,West,Beauty,8932,No
118,55,Female,52097.52,49,Silver,East,Toys,2397,Yes
